Bore ID,Postcode,Suburb,Area,Latitude,Longitude,Temperature (C),EC (uS/cm),WaterQuantity(mAHD)
40630,3724,MANSFIELD,GRAMPIANS WIMMERA MALLEE,-35.24250299,142.9088344,15.24 ,159.00 ,65.99 
40631,3533,BIMBOURIE,GRAMPIANS WIMMERA MALLEE,-35.40324723,143.0122277,17.77 ,283.00 ,57.44 
40632,3673,BROKEN CREEK,TYRRELL,-35.46472719,142.925659,18.89 ,53420.22 ,48.30 
40633,3673,BROKEN CREEK,GRAMPIANS WIMMERA MALLEE,-35.48320115,142.9466627,14.47 ,503.00 ,50.64 
40634,3533,BIMBOURIE,MOORTWORRA,-35.33099524,143.0076431,17.60 ,248.00 ,47.27 
40635,3533,BIMBOURIE,GRAMPIANS WIMMERA MALLEE,-35.30888469,142.7796031,19.98 ,196185.00 ,42.99 
40636,3533,BIMBOURIE,GRAMPIANS WIMMERA MALLEE,-35.30889114,142.779573,20.12 ,142232.00 ,42.94 
40637,3533,BIMBOURIE,BOURKA,-35.40113806,142.7847442,18.63 ,751.00 ,43.97 
40638,3533,BIMBOURIE,BOURKA,-35.40116969,142.7847578,17.98 ,161.00 ,43.98 
40640,3533,BIMBOURIE,BIMBOURIE,-35.36485945,142.7359531,20.03 ,70873.33 ,62.98 
40641,3723,ARCHERTON,GRAMPIANS WIMMERA MALLEE,-35.23924126,142.8565366,19.13 ,411.00 ,46.74 
40642,3723,ARCHERTON,GRAMPIANS WIMMERA MALLEE,-35.23926259,142.8565682,14.27 ,338.00 ,46.67 
40643,3723,ARCHERTON,GRAMPIANS WIMMERA MALLEE,-35.23920158,142.8565666,15.25 ,157.00 ,46.98 
40644,3723,ARCHERTON,GRAMPIANS WIMMERA MALLEE,-35.31056717,142.8487912,21.41 ,698.00 ,44.08 
40645,3723,ARCHERTON,GRAMPIANS WIMMERA MALLEE,-35.31059715,142.8487586,17.16 ,468.00 ,44.08 
40646,3723,ARCHERTON,GRAMPIANS WIMMERA MALLEE,-35.31058841,142.8487757,20.22 ,489.00 ,44.05 
40647,3673,BROKEN CREEK,GRAMPIANS WIMMERA MALLEE,-35.44124778,142.8208808,18.09 ,795.00 ,42.51 
40648,3720,BONNIE DOON,GERAHMIN,-35.24942857,142.7477405,17.27 ,548.00 ,59.17 
40649,3546,BOLTON,GERAHMIN,-35.19465961,142.7459512,13.13 ,176.00 ,54.70 
40650,3546,BOLTON,GRAMPIANS WIMMERA MALLEE,-35.1935949,142.802629,18.86 ,403.00 ,57.23 
40653,3673,BROKEN CREEK,WAITCHIE,-35.47768702,142.9974587,19.71 ,46856.56 ,58.20 
40658,3678,BOBINAWARRAH,KORO-GANEIT,-35.47544117,143.1560348,19.43 ,38721.33 ,62.75 
40661,3733,WHITFIELD,ULTIMA,-35.52049347,143.288102,18.90 ,211.00 ,80.76 
40663,3678,BOBINAWARRAH,MUMBEL,-35.52892012,143.4132281,20.59 ,30311.00 ,88.66 
41720,3579,APPIN,GOULBURN-MURRAY,-35.73631818,143.8802422,14.04 ,675.00 ,80.03 
42061,3858,DAWSON,DENISON,-38.02882074,146.7469933,19.19 ,698.00 ,#N/A
42720,3612,MOORA,GOULBURN-MURRAY,-36.52712372,145.151394,15.06 ,552.00 ,114.43 
42723,3631,ARCADIA,GOULBURN-MURRAY,-36.55583121,145.3723181,21.49 ,27655.00 ,120.81 
42810,3612,MOORA,GOULBURN-MURRAY,-36.52712965,145.1514044,17.06 ,383.00 ,114.36 
42849,3424,ALBACUTYA,GOULBURN-MURRAY,-36.5575477,145.1535912,18.36 ,348.00 ,122.80 
43872,3641,BEARII,GOULBURN-MURRAY,-35.88317913,145.5314797,17.94 ,450.00 ,110.87 
44389,3644,COBRAM,SHEPPARTON IRRIGATION (GMU),-36.01714477,145.6318322,14.37 ,559.00 ,113.22 
44769,3610,DHURRINGILE,SHEPPARTON IRRIGATION (GMU),-36.55776754,145.1953526,14.96 ,630.00 ,119.14 
45743,3663,MANGALORE,GOULBURN-MURRAY,-36.89625869,145.1507849,16.89 ,463.00 ,136.44 
45744,3607,TABILK,GOULBURN-MURRAY,-36.86897369,145.1695163,14.45 ,101.00 ,136.74 
45756,3858,DAWSON,WINNINDOO,-38.08704499,146.7521183,13.70 ,691.00 ,27.97 
45757,3858,DAWSON,WINNINDOO,-38.08704499,146.7521183,20.99 ,143.00 ,28.34 
45758,3847,HIAMDALE,WINNINDOO,-38.11568889,146.7751564,13.76 ,253.00 ,23.96 
45759,3856,TOONGABBIE,WINNINDOO,-38.08266839,146.7137858,15.51 ,128.00 ,43.87 
45760,3856,TOONGABBIE,WINNINDOO,-38.08266839,146.7137858,13.81 ,377.00 ,43.63 
45761,3847,HIAMDALE,DENISON,-38.10469027,146.8261524,16.59 ,213.00 ,20.47 
45762,3847,HIAMDALE,DENISON (GMU),-38.10469027,146.8261524,12.93 ,599.00 ,20.59 
45763,3847,HIAMDALE,DENISON (GMU),-38.10469027,146.8261524,18.56 ,272.00 ,20.44 
45764,3847,HIAMDALE,DENISON (GMU),-38.10390751,146.8046198,19.39 ,387.00 ,20.43 
45765,3847,HIAMDALE,DENISON (GMU),-38.10390751,146.8046198,16.48 ,526.00 ,21.32 
45806,3889,BELLBIRD CREEK,SOUTHERN RURAL,-37.62296918,142.4422391,13.36 ,331.00 ,260.16 
45807,3889,BELLBIRD CREEK,SOUTHERN RURAL,-37.66020444,142.4316456,16.89 ,787.00 ,290.83 
45808,3889,BELLBIRD CREEK,SOUTHERN RURAL,-37.66011501,142.4316258,14.91 ,484.00 ,290.73 
45815,3889,BELLBIRD CREEK,SOUTHERN RURAL,-37.60896671,142.4433555,17.70 ,393.00 ,247.51 
45816,3889,BELLBIRD CREEK,SOUTHERN RURAL,-37.60897438,142.4433134,19.73 ,763.00 ,247.55 
46147,3409,ARAPILES,GRAMPIANS WIMMERA MALLEE,-36.6778952,141.8363334,18.32 ,12350.00 ,116.68 
46148,3409,ARAPILES,GRAMPIANS WIMMERA MALLEE,-36.67796127,141.8363205,16.58 ,6658.00 ,116.78 
46189,3631,ARCADIA,GOULBURN-MURRAY,-36.55555482,145.3723229,18.52 ,499.00 ,120.32 
46190,3631,ARCADIA,GOULBURN-MURRAY,-36.55592781,145.3723155,19.26 ,553.00 ,120.89 
46191,3631,ARCADIA,MID GOULBURN (GMU),-36.55598754,145.4296531,12.83 ,185.00 ,124.12 
46193,3631,ARCADIA,GOULBURN-MURRAY,-36.49918326,145.396491,19.01 ,6352.00 ,116.21 
46194,3631,ARCADIA,GOULBURN-MURRAY,-36.49919095,145.3965197,19.97 ,624.00 ,115.66 
46195,3631,ARCADIA,GOULBURN-MURRAY,-36.49906291,145.3970203,19.98 ,2850.00 ,116.23 
46196,3631,ARCADIA,GOULBURN-MURRAY,-36.49918188,145.3965359,13.74 ,426.00 ,116.29 
46198,3631,ARCADIA,GOULBURN-MURRAY,-36.49917742,145.397002,20.75 ,233.00 ,116.44 
46199,3631,ARCADIA,GOULBURN-MURRAY,-36.49917352,145.3970138,21.16 ,745.00 ,116.20 
46211,3631,ARCADIA,MID GOULBURN (GMU),-36.55512544,145.4283695,13.41 ,333.00 ,124.37 
46217,3862,CASTLEBURN,SOUTHERN RURAL,-37.78488068,140.9712839,14.35 ,596.00 ,66.66 
46488,3364,ALLENDALE,GOULBURN-MURRAY,-37.39966251,143.7913584,12.98 ,341.00 ,414.99 
46489,3352,ADDINGTON,GOULBURN-MURRAY,-37.44529616,143.7912685,21.30 ,344.00 ,438.08 
46702,3664,AVENEL,GOULBURN-MURRAY,-36.89020362,145.1914043,18.00 ,3570.00 ,143.59 
46703,3664,AVENEL,GOULBURN-MURRAY,-36.89021153,145.1914209,17.90 ,974.00 ,143.22 
46789,3607,TABILK,GOULBURN-MURRAY,-36.86837598,145.194603,19.88 ,321.00 ,140.50 
46790,3607,TABILK,GOULBURN-MURRAY,-36.86835143,145.1945948,14.57 ,463.00 ,140.80 
46916,3737,ABBEYARD,BAEL BAEL,-35.60854207,143.7434097,15.49 ,516.00 ,75.36 
46917,3737,ABBEYARD,GOULBURN-MURRAY,-35.65862844,143.770422,20.10 ,40200.00 ,75.51 
46918,3737,ABBEYARD,GOULBURN-MURRAY,-35.65860981,143.7705316,14.44 ,544.00 ,75.19 
46956,3608,BAILIESTON,GOULBURN-MURRAY,-36.73860757,145.1074856,13.84 ,759.00 ,128.83 
